City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Mandera,KE,81.18,broken clouds,3.9366,41.867,Mwalimu Guest mandera
12,Dhidhdhoo,MV,82.02,broken clouds,6.8833,73.1,Dhidhoo beach
17,Kudahuvadhoo,MV,82.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
20,Monrovia,LR,79.14,few clouds,6.3005,-10.7969,Sunset Inn
32,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
39,Prado,BR,78.39,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
43,Sao Gabriel,BR,77.79,scattered clouds,-30.3364,-54.32,Hotel Obino São Gabriel
45,Caravelas,BR,78.04,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
48,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
58,Sinnamary,GF,75.4,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
67,Kulhudhuffushi,MV,81.97,broken clouds,6.6221,73.07,Haajy Guest House 1
76,Santa Cruz,BO,78.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
77,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
78,Podor,MR,78.75,few clouds,16.6527,-14.9587,Auberge Du Tékrour
81,Caninde De Sao Francisco,BR,78.13,overcast clouds,-9.66,-37.7894,Xingo Parque Hotel
82,Boa Vista,BR,85.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
83,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Scoop Guest House
93,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
99,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
102,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
112,Cap Malheureux,MU,81.09,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
114,Kantunil,MX,78.93,broken clouds,20.8,-89.0333,Rancho mezcalero gallareta
116,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
126,Grand Gaube,MU,81.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
129,Carutapera,BR,77.38,broken clouds,-1.195,-46.02,Lidera
133,Meulaboh,ID,76.1,broken clouds,4.1363,96.1285,Kost Pria
135,Aguada De Pasajeros,CU,78.94,scattered clouds,22.385,-80.8508,El Bosque
144,Cockburn Town,TC,77.23,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
152,Mumford,GH,78.87,overcast clouds,5.2618,-0.759,Spanish Villa
157,Dingle,PH,79.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
159,Cururupu,BR,76.33,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
161,Paratebueno,CO,80.56,scattered clouds,4.3758,-73.2155,Casa Hotel Paratebueno
175,Santa Rosa,PH,82.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
179,Santo Angelo,BR,82.72,clear sky,-28.2992,-54.2631,Hotel Nova Esperança
192,Guatire,VE,77.5,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
197,Guarapari,BR,78.69,moderate rain,-20.6667,-40.4975,Hotel Porto do Sol
198,Mari,BR,79.61,few clouds,-7.06,-35.3194,Pousada Itapemirim / Agência De Viajem
205,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Namibe,AO,76.32,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
217,Galle,LK,77.22,broken clouds,6.0367,80.217,Amangalla
220,Male,MV,81.95,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
221,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
222,San Ramon De La Nueva Oran,AR,83.34,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
223,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
227,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
229,Axim,GH,79.63,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
240,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
243,Vila Velha,BR,78.75,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
244,Port Antonio,JM,78.71,few clouds,18.18,-76.4612,The Trident Hotel
252,Omboue,GA,78.04,light rain,-1.5746,9.2618,Hotel Olako
253,Maragogi,BR,80.69,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
259,Takoradi,GH,79.25,overcast clouds,4.8845,-1.7554,Raybow International Hotel
266,Bubaque,GW,77.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
274,Muisne,EC,76.51,light rain,0.6,-80.0333,Quinta Samay
275,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
277,Ciudad Bolivar,VE,84.16,broken clouds,8.1222,-63.5497,Hotel Edi
289,Salinopolis,BR,79.2,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
290,Andros Town,BS,75.16,few clouds,24.7,-77.7667,Hanks place
296,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
311,Port-Gentil,GA,80.53,light rain,-0.7193,8.7815,Fengshui Residence
312,Mankono,CI,80.8,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
321,Parana,AR,82.54,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
329,San Ignacio,BZ,84.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
334,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
335,Catamarca,AR,77.58,light rain,-28.4696,-65.7852,Amerian Catamarca Park Hotel
341,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Jebinrio home
353,Vieux-Habitants,GP,76.71,few clouds,16.0589,-61.7659,Gîtes Dardanelle
354,Lethem,GY,83.57,broken clouds,3.3803,-59.7968,Savannah Inn
367,Panaba,MX,75.25,scattered clouds,21.2833,-88.2667,Hotel California
374,Harper,LR,78.98,few clouds,4.375,-7.7169,Screensaver
376,Barcarena,BR,78.85,heavy intensity rain,-1.5058,-48.6258,Dos Santos Hotel
377,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
378,Batticaloa,LK,76.33,overcast clouds,7.7102,81.6924,Grand Star Guest House
383,Vicencia,BR,81.21,scattered clouds,-7.6569,-35.3267,Silva e Lemos House
384,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
391,Mitsamiouli,KM,82.4,overcast clouds,-11.3847,43.2844,Foyer ADM
407,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
415,Piacabucu,BR,80.87,clear sky,-10.4056,-36.4344,Piaçabuçu News
417,Tabou,CI,79.09,few clouds,4.423,-7.3528,hotêl doufoulougou
422,Trincomalee,LK,78.82,overcast clouds,8.5711,81.2335,Welcombe Hotel
433,Trairi,BR,78.42,broken clouds,-3.2778,-39.2689,janelas do mar
434,Rio Brilhante,BR,76.91,scattered clouds,-21.8019,-54.5464,Hotel Cattani
435,Nisia Floresta,BR,79.61,light rain,-6.0911,-35.2086,Rancho Crepusculo
437,Bentiu,SS,76.46,few clouds,9.2333,29.8333,Mandela hôtel
451,Luanda,AO,77.9,light rain,-8.8368,13.2343,EPIC SANA Luanda
464,Tubuala,PA,80.71,clear sky,9.5167,-79.0333,Río Nabagana
482,Terre-De-Bas,GP,76.66,few clouds,15.8501,-61.6442,Hôtel Bois Joli
484,Santiago Del Estero,AR,85.91,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
486,Dunmore Town,BS,75.7,clear sky,25.5,-76.65,Coral Sands Hotel
491,Yako,BF,79.05,clear sky,12.9667,-2.2667,CADAAY
495,Lodwar,KE,87.13,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
501,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
503,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
509,Miandrivazo,MG,77.76,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
510,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
513,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
514,Barra,BR,77.56,light rain,-11.0894,-43.1417,Motel Albatroz
516,Uaua,BR,77.83,light rain,-9.8414,-39.4817,Hotel Uauá
525,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
530,Conceicao Da Barra,BR,77.59,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
532,Tutoia,BR,82.38,overcast clouds,-2.7619,-42.2744,Pousada Guará's
533,Tonj,SS,80.71,scattered clouds,7.2737,28.6822,Lakan Hotel
542,Bonthe,SL,78.31,few clouds,7.5264,-12.505,Bonthe Holiday Village
545,Dondo,MZ,81.91,overcast clouds,-19.6094,34.7431,Arco Iris
547,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
563,Yenagoa,NG,77.92,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
566,Sao Jose Da Coroa Grande,BR,80.65,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
568,Puerto Baquerizo Moreno,EC,77.31,few clouds,-0.9,-89.6,Hotel los Algarrobos
572,Puerto Ayacucho,VE,88.52,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
580,Saint-Joseph,RE,79.18,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
585,Barinas,VE,87.84,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
589,Inirida,CO,78.51,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
591,Machiques,VE,82.63,overcast clouds,10.0644,-72.545,hotel el markes
602,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Hotel H1
608,Oriximina,BR,75.24,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
614,San Juan,AR,81.05,clear sky,-31.5375,-68.5364,Hotel Provincial
621,Salinas,US,76.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
628,Salvador,SV,84.24,clear sky,13.8333,-88.9167,Chico's Ranch
631,Caucaia,BR,82.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
635,Conakry,GN,79.38,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
636,Bauta,CU,75.09,scattered clouds,22.9828,-82.5464,El Refugio
645,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
648,Presidencia Roque Saenz Pena,AR,86.94,scattered clouds,-26.7852,-60.4388,Hotel Gualok
650,Cicero Dantas,BR,75.43,overcast clouds,-10.6,-38.3833,Hotel Beatriz
655,Kourou,GF,77.11,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
668,Morondava,MG,80.53,broken clouds,-20.2833,44.2833,La Case Bambou
673,Vallenar,CL,75.02,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
682,Beyla,GN,76.14,clear sky,8.6833,-8.6333,DIAN SINKO
684,Rock Sound,BS,75.7,clear sky,24.9,-76.2,Pink Corral Bay Property
